time;month;temperature;wind;barometer;weather;label
14.0;11;0.7368421052631579;0.34;0.5;2;2
14.5;11;0.7368421052631579;0.38;0.5;2;2
15.0;11;0.7368421052631579;0.4;0.4375;2;2
15.5;11;0.7368421052631579;0.34;0.4375;2;2
16.0;11;0.6842105263157895;0.3;0.5;2;2
16.5;11;0.6842105263157895;0.22;0.5;2;2
17.0;11;0.6842105263157895;0.22;0.5;2;2
17.5;11;0.631578947368421;0.14;0.5;2;2
18.0;11;0.631578947368421;0.14;0.5;2;2
18.5;11;0.5789473684210527;0.14;0.5;2;2
19.0;11;0.5789473684210527;0.14;0.5625;2;2
19.5;11;0.5789473684210527;0.14;0.5625;2;2
20.0;11;0.5789473684210527;0.18;0.5625;2;2
20.5;11;0.5789473684210527;0.18;0.5625;2;2
21.0;11;0.5263157894736842;0.14;0.625;2;2
21.5;11;0.5263157894736842;0.14;0.625;2;2
22.0;11;0.5263157894736842;0.22;0.625;2;2
22.5;11;0.5263157894736842;0.22;0.625;2;2
23.0;11;0.47368421052631576;0.14;0.5625;2;2
23.5;11;0.47368421052631576;0.22;0.5;2;2
0.0;11;0.47368421052631576;0.22;0.5625;2;2
0.5;11;0.42105263157894735;0.18;0.5625;2;2
1.0;11;0.47368421052631576;0.22;0.5625;2;2
2.0;11;0.42105263157894735;0.22;0.5;2;2
3.0;11;0.42105263157894735;0.22;0.5;2;2
3.5;11;0.42105263157894735;0.26;0.4375;2;2
4.0;11;0.42105263157894735;0.34;0.4375;2;2
4.5;11;0.42105263157894735;0.3;0.5;2;2
5.0;11;0.42105263157894735;0.3;0.5;2;2
5.5;11;0.42105263157894735;0.3;0.5;2;3
6.0;11;0.42105263157894735;0.26;0.5;3;3
6.5;11;0.42105263157894735;0.22;0.5625;3;1
7.0;11;0.3684210526315789;0.26;0.5625;1;1
7.5;11;0.3684210526315789;0.14;0.625;1;1
8.0;11;0.3684210526315789;0.18;0.625;1;2
8.5;11;0.42105263157894735;0.3;0.625;2;2
9.5;11;0.42105263157894735;0.0;0.625;2;1
10.0;11;0.42105263157894735;0.34;0.625;1;1
10.5;11;0.47368421052631576;0.18;0.625;1;1
11.0;11;0.42105263157894735;0.3;0.5625;1;1
11.5;11;0.47368421052631576;0.38;0.5625;1;2
12.0;11;0.5263157894736842;0.44;0.5;2;2
12.5;11;0.5789473684210527;0.52;0.4375;2;2
13.0;11;0.5789473684210527;0.4;0.4375;2;1
13.5;11;0.5263157894736842;0.52;0.4375;1;1
14.0;11;0.5263157894736842;0.48;0.375;1;2
14.5;11;0.5263157894736842;0.56;0.375;2;2
15.0;11;0.5263157894736842;0.44;0.375;2;2
15.5;11;0.5263157894736842;0.48;0.375;2;2
16.0;11;0.5789473684210527;0.48;0.375;2;2
16.5;11;0.5263157894736842;0.44;0.375;2;2
17.0;11;0.5263157894736842;0.44;0.4375;2;1
17.5;11;0.47368421052631576;0.38;0.4375;1;1
18.0;11;0.47368421052631576;0.3;0.4375;1;1
18.5;11;0.47368421052631576;0.26;0.5;1;2
19.0;11;0.5263157894736842;0.22;0.5;2;1
19.5;11;0.47368421052631576;0.26;0.5;1;1
20.0;11;0.47368421052631576;0.3;0.5;1;1
20.5;11;0.47368421052631576;0.26;0.5625;1;1
21.0;11;0.47368421052631576;0.3;0.5625;1;1
21.5;11;0.5263157894736842;0.34;0.5625;1;1
22.0;11;0.42105263157894735;0.34;0.625;1;1
22.5;11;0.42105263157894735;0.38;0.5625;1;1
23.0;11;0.42105263157894735;0.52;0.5625;1;1
23.5;11;0.42105263157894735;0.44;0.5625;1;2
0.0;11;0.42105263157894735;0.38;0.5;2;2
0.5;11;0.42105263157894735;0.34;0.4375;2;2
1.0;11;0.42105263157894735;0.22;0.5;2;2
1.5;11;0.42105263157894735;0.26;0.4375;2;2
2.0;11;0.42105263157894735;0.22;0.4375;2;1
2.5;11;0.3684210526315789;0.26;0.4375;1;1
3.0;11;0.3684210526315789;0.26;0.4375;1;1
3.5;11;0.3684210526315789;0.18;0.375;1;1
4.0;11;0.3157894736842105;0.18;0.375;1;1
4.5;11;0.3157894736842105;0.18;0.375;1;1
5.0;11;0.3157894736842105;0.14;0.375;1;0
5.5;11;0.3157894736842105;0.14;0.375;0;1
6.0;11;0.3684210526315789;0.22;0.375;1;1
6.5;11;0.3684210526315789;0.22;0.4375;1;1
7.0;11;0.3684210526315789;0.22;0.4375;1;1
7.5;11;0.3684210526315789;0.3;0.4375;1;1
8.5;11;0.3684210526315789;0.26;0.5;1;1
9.0;11;0.3684210526315789;0.22;0.5;1;1
9.5;11;0.3684210526315789;0.18;0.5;1;1
10.0;11;0.3684210526315789;0.22;0.5;1;1
10.5;11;0.3684210526315789;0.38;0.4375;1;1
11.0;11;0.3684210526315789;0.3;0.4375;1;1
11.5;11;0.3157894736842105;0.3;0.4375;1;1
12.0;11;0.3157894736842105;0.38;0.375;1;1
12.5;11;0.3157894736842105;0.44;0.375;1;1
13.0;11;0.3684210526315789;0.44;0.3125;1;1
13.5;11;0.3157894736842105;0.6;0.25;1;1
14.0;11;0.3157894736842105;0.56;0.25;1;1
14.5;11;0.3157894736842105;0.64;0.1875;1;1
15.0;11;0.3157894736842105;0.56;0.25;1;0
15.5;11;0.3157894736842105;0.56;0.1875;0;0
16.0;11;0.3157894736842105;0.26;0.1875;0;0
16.5;11;0.3157894736842105;0.52;0.25;0;1
17.0;11;0.3157894736842105;0.56;0.25;1;1
17.5;11;0.3157894736842105;0.52;0.25;1;1
18.0;11;0.3157894736842105;0.44;0.25;1;1
18.5;11;0.3157894736842105;0.34;0.25;1;0
19.0;11;0.3157894736842105;0.56;0.25;0;0
19.5;11;0.2631578947368421;0.78;0.25;0;1
20.0;11;0.2631578947368421;0.7;0.25;1;1
20.5;11;0.2631578947368421;0.48;0.25;1;4
21.0;11;0.2631578947368421;0.34;0.25;4;1
21.5;11;0.2631578947368421;0.78;0.25;1;1
22.0;11;0.2631578947368421;0.78;0.25;1;0
22.5;11;0.2631578947368421;0.6;0.25;0;1
23.0;11;0.2631578947368421;0.7;0.25;1;1
23.5;11;0.2631578947368421;0.52;0.25;1;1
0.0;11;0.2631578947368421;0.34;0.25;1;1
0.5;11;0.2631578947368421;0.34;0.25;1;1
1.0;11;0.2631578947368421;0.4;0.1875;1;1
1.5;11;0.2631578947368421;0.3;0.1875;1;1
2.5;11;0.2631578947368421;0.3;0.125;1;1
3.0;11;0.2631578947368421;0.34;0.125;1;1
3.5;11;0.3157894736842105;0.38;0.125;1;2
4.0;11;0.2631578947368421;0.44;0.125;2;2
4.5;11;0.2631578947368421;0.44;0.1875;2;2
5.0;11;0.2631578947368421;0.4;0.1875;2;2
5.5;11;0.2631578947368421;0.34;0.25;2;2
6.0;11;0.2631578947368421;0.4;0.3125;2;4
6.5;11;0.2631578947368421;0.4;0.3125;4;4
7.0;11;0.2631578947368421;0.4;0.375;4;1
7.5;11;0.2631578947368421;0.44;0.4375;1;1
8.0;11;0.2631578947368421;0.38;0.5;1;1
8.5;11;0.2631578947368421;0.38;0.5;1;1
9.0;11;0.2631578947368421;0.4;0.5625;1;2
9.5;11;0.3157894736842105;0.38;0.5625;2;2
10.0;11;0.3157894736842105;0.34;0.5625;2;2
10.5;11;0.3684210526315789;0.3;0.5625;2;2
11.0;11;0.3684210526315789;0.26;0.5625;2;2
11.5;11;0.3684210526315789;0.34;0.5;2;2
12.0;11;0.42105263157894735;0.34;0.5;2;2
12.5;11;0.3684210526315789;0.34;0.5;2;2
13.0;11;0.42105263157894735;0.38;0.4375;2;2
13.5;11;0.42105263157894735;0.4;0.4375;2;2
14.0;11;0.42105263157894735;0.38;0.4375;2;2
14.5;11;0.42105263157894735;0.26;0.4375;2;3
15.0;11;0.42105263157894735;0.3;0.4375;3;3
15.5;11;0.42105263157894735;0.3;0.4375;3;3
16.0;11;0.42105263157894735;0.22;0.4375;3;3
16.5;11;0.42105263157894735;0.14;0.5;3;3
17.0;11;0.42105263157894735;0.14;0.5;3;2
17.5;11;0.42105263157894735;0.14;0.5;2;2
18.0;11;0.42105263157894735;0.14;0.5;2;2
18.5;11;0.42105263157894735;0.22;0.5625;2;2
19.0;11;0.42105263157894735;0.18;0.5625;2;2
19.5;11;0.42105263157894735;0.14;0.625;2;2
20.0;11;0.42105263157894735;0.14;0.625;2;2
20.5;11;0.42105263157894735;0.14;0.6875;2;2
21.0;11;0.42105263157894735;0.14;0.6875;2;2
21.5;11;0.42105263157894735;0.14;0.6875;2;2
22.0;11;0.42105263157894735;0.12;0.6875;2;2
22.5;11;0.42105263157894735;0.12;0.6875;2;2
23.0;11;0.42105263157894735;0.08;0.6875;2;2
23.5;11;0.42105263157894735;0.12;0.6875;2;2
0.0;11;0.42105263157894735;0.14;0.6875;2;2
0.5;11;0.42105263157894735;0.12;0.6875;2;2
1.0;11;0.42105263157894735;0.08;0.6875;2;2
1.5;11;0.42105263157894735;0.12;0.625;2;2
2.0;11;0.3684210526315789;0.08;0.625;2;2
2.5;11;0.3684210526315789;0.12;0.625;2;2
3.5;11;0.3684210526315789;0.08;0.625;2;2
4.0;11;0.3684210526315789;0.12;0.625;2;2
4.5;11;0.3157894736842105;0.0;0.625;2;1
5.0;11;0.3157894736842105;0.04;0.625;1;1
5.5;11;0.3684210526315789;0.12;0.625;1;3
6.0;11;0.42105263157894735;0.14;0.625;3;2
6.5;11;0.42105263157894735;0.14;0.6875;2;2
7.0;11;0.42105263157894735;0.18;0.6875;2;2
7.5;11;0.47368421052631576;0.14;0.6875;2;2
8.0;11;0.5263157894736842;0.22;0.75;2;2
8.5;11;0.5263157894736842;0.3;0.75;2;2
9.5;11;0.5789473684210527;0.26;0.75;2;3
10.0;11;0.5789473684210527;0.3;0.75;3;3
10.5;11;0.631578947368421;0.3;0.75;3;3
11.0;11;0.631578947368421;0.34;0.6875;3;3
11.5;11;0.6842105263157895;0.3;0.6875;3;3
12.0;11;0.6842105263157895;0.3;0.6875;3;3
12.5;11;0.6842105263157895;0.18;0.625;3;3
13.0;11;0.7368421052631579;0.26;0.625;3;3
13.5;11;0.7368421052631579;0.22;0.5625;3;3
14.0;11;0.7368421052631579;0.26;0.5625;3;3
14.5;11;0.7368421052631579;0.34;0.5625;3;2
